FlightID,Airline,DepartureAirport,ArrivalAirport,DepartureDate,Distance,FlightDuration,Class,NumberOfStops,DaysUntilDeparture,DayOfWeek,TicketPrice
30,Delta,ATL,LAX,02-01-2024 05:00,1866,9.4,Business,2,281,Tuesday,822.93
31,Delta,ORD,ATL,02-01-2024 06:00,4863,1.02,Business,1,81,Tuesday,101.15
32,Delta,LAX,LAX,02-01-2024 07:00,441,7.04,Economy,2,159,Tuesday,121.54
33,JetBlue,DFW,JFK,02-01-2024 08:00,4641,11.29,First,0,136,Tuesday,221.77
34,JetBlue,ORD,DFW,02-01-2024 09:00,4459,4.32,Economy,0,67,Tuesday,1317.87
35,American,ATL,ORD,02-01-2024 10:00,1707,9.91,First,0,262,Tuesday,949.24
36,Southwest,LAX,ATL,02-01-2024 11:00,937,7.12,Business,1,58,Tuesday,1766.21
37,JetBlue,DFW,JFK,02-01-2024 12:00,2012,11.48,First,2,265,Tuesday,1250.42
38,American,LAX,JFK,02-01-2024 13:00,812,9.36,Business,1,186,Tuesday,975.12
39,Southwest,JFK,LAX,02-01-2024 14:00,3410,1.42,Business,2,128,Tuesday,951.25
40,Delta,JFK,DFW,02-01-2024 15:00,4738,4.97,Economy,0,11,Tuesday,1740.27
41,Delta,JFK,JFK,02-01-2024 16:00,490,2.87,First,2,161,Tuesday,1287.25
42,Delta,ATL,ATL,02-01-2024 17:00,4351,10.35,Business,2,185,Tuesday,1724.14
43,JetBlue,JFK,DFW,02-01-2024 18:00,3954,10.24,Economy,2,81,Tuesday,1734.76
44,United,ORD,LAX,02-01-2024 19:00,2579,6.29,Economy,1,235,Tuesday,1971.64
45,United,LAX,ATL,02-01-2024 20:00,796,1.57,Economy,1,4,Tuesday,1860.49
46,American,DFW,DFW,02-01-2024 21:00,3373,7.22,Economy,0,340,Tuesday,1161.75
47,Southwest,JFK,DFW,02-01-2024 22:00,878,3.12,Business,1,324,Tuesday,1384.02
48,American,ATL,DFW,02-01-2024 23:00,3255,9.21,Business,1,360,Tuesday,1834.95
49,Southwest,JFK,DFW,03-01-2024 00:00,2724,6.07,Economy,1,171,Wednesday,153.35
50,JetBlue,LAX,DFW,03-01-2024 01:00,4390,5,Business,1,358,Wednesday,645.02
51,Delta,LAX,ATL,03-01-2024 02:00,3496,5.36,First,0,146,Wednesday,1522.65
52,American,ORD,JFK,03-01-2024 03:00,3584,7.96,Economy,0,119,Wednesday,1781.42
53,Southwest,JFK,ORD,03-01-2024 04:00,628,4.26,First,2,309,Wednesday,1192.46
54,Southwest,ORD,LAX,03-01-2024 05:00,2097,11.05,Economy,1,198,Wednesday,1481.66
55,United,LAX,JFK,03-01-2024 06:00,708,7.31,Economy,1,351,Wednesday,243.6
56,United,LAX,LAX,03-01-2024 07:00,4372,9.23,Business,0,21,Wednesday,578.41
57,Southwest,ATL,LAX,03-01-2024 08:00,706,4.49,Economy,2,335,Wednesday,162.88
58,United,JFK,LAX,03-01-2024 09:00,3555,1.52,Economy,0,350,Wednesday,1098.32
59,JetBlue,DFW,LAX,03-01-2024 10:00,580,2.22,First,2,46,Wednesday,1264.3
60,JetBlue,DFW,ATL,03-01-2024 11:00,606,4,First,2,285,Wednesday,1752.08
61,JetBlue,ATL,ORD,03-01-2024 12:00,1113,9.92,Business,0,256,Wednesday,98.46
62,Delta,JFK,ORD,03-01-2024 13:00,2744,7.42,Business,1,356,Wednesday,1863.5
63,Southwest,LAX,ATL,03-01-2024 14:00,2034,8.81,First,0,260,Wednesday,1502.38
64,JetBlue,LAX,DFW,03-01-2024 15:00,3073,5.54,Economy,1,117,Wednesday,1012.07
65,American,ATL,JFK,03-01-2024 16:00,3961,2.32,Business,0,1,Wednesday,668.88
66,Delta,DFW,ATL,03-01-2024 17:00,836,4.17,First,0,250,Wednesday,1982.83
67,JetBlue,ORD,JFK,03-01-2024 18:00,836,8.21,Business,2,325,Wednesday,968.73
68,Southwest,ORD,DFW,03-01-2024 19:00,1121,1.64,First,1,350,Wednesday,1272.05
69,American,ORD,ATL,03-01-2024 20:00,3114,8.13,Economy,0,351,Wednesday,748.03
70,JetBlue,ATL,JFK,03-01-2024 21:00,4024,9.34,First,0,141,Wednesday,215.26
71,United,LAX,LAX,03-01-2024 22:00,1226,8.36,Economy,2,41,Wednesday,465.08
72,Southwest,ATL,ATL,03-01-2024 23:00,2574,4.49,First,1,18,Wednesday,813.81
73,JetBlue,DFW,LAX,04-01-2024 00:00,3647,2.31,Economy,2,292,Thursday,1163.4
74,American,DFW,ORD,04-01-2024 01:00,1125,3.78,Business,2,216,Thursday,1721.95
75,American,JFK,JFK,04-01-2024 02:00,418,5.76,Business,2,278,Thursday,1531.83
76,JetBlue,JFK,JFK,04-01-2024 03:00,2402,6.83,First,1,364,Thursday,257.04
77,Delta,JFK,ATL,04-01-2024 04:00,252,4.03,Economy,0,73,Thursday,1728.42
78,American,ATL,JFK,04-01-2024 05:00,4661,2.68,Economy,2,123,Thursday,432.63
79,Southwest,DFW,ORD,04-01-2024 06:00,2414,9.58,Economy,2,114,Thursday,1215.66
80,Delta,ATL,JFK,04-01-2024 07:00,1832,10.7,Economy,2,162,Thursday,1980.98
81,American,ATL,ATL,04-01-2024 08:00,4057,1.28,Business,1,315,Thursday,634.81
82,Southwest,LAX,DFW,04-01-2024 09:00,332,8.06,Business,2,334,Thursday,164.69
83,Delta,ATL,ORD,04-01-2024 10:00,1750,9.67,Business,0,342,Thursday,1723.48
84,Southwest,LAX,ATL,04-01-2024 11:00,2364,7.86,Business,0,4,Thursday,1125.89
85,United,ORD,ATL,04-01-2024 12:00,1489,10.8,Economy,2,53,Thursday,636.21
86,American,DFW,DFW,04-01-2024 13:00,889,4.02,First,2,238,Thursday,650.93
87,Delta,DFW,LAX,04-01-2024 14:00,2735,6.29,Business,2,49,Thursday,1023.26
88,JetBlue,LAX,DFW,04-01-2024 15:00,1975,1.07,First,1,185,Thursday,1425.84
89,Southwest,ORD,ATL,04-01-2024 16:00,3409,8.5,First,2,56,Thursday,1218.6
90,United,DFW,DFW,04-01-2024 17:00,4481,5.46,First,1,244,Thursday,1712.57
91,Southwest,ATL,JFK,04-01-2024 18:00,1676,11.56,Economy,0,256,Thursday,98.84
92,American,ATL,ORD,04-01-2024 19:00,3174,2.3,Business,0,155,Thursday,1904.85
93,United,JFK,LAX,04-01-2024 20:00,4522,10.6,Business,0,290,Thursday,1491.21
94,American,LAX,JFK,04-01-2024 21:00,4595,1.74,Business,2,75,Thursday,544.28
95,Delta,JFK,ORD,04-01-2024 22:00,1279,1.13,First,1,337,Thursday,311.26
96,American,ATL,ORD,04-01-2024 23:00,2210,8.72,First,1,266,Thursday,1442.56
97,JetBlue,LAX,LAX,05-01-2024 00:00,295,10.32,Economy,0,132,Friday,283.66
98,United,ORD,ORD,05-01-2024 01:00,4440,3.87,Economy,1,142,Friday,906.62
99,United,DFW,JFK,05-01-2024 02:00,3484,3.72,First,1,289,Friday,299.92
100,JetBlue,JFK,ATL,05-01-2024 03:00,2911,9.81,Economy,2,232,Friday,565.69
101,JetBlue,ATL,LAX,05-01-2024 04:00,4363,6.63,Business,0,252,Friday,123.39
102,United,LAX,ORD,05-01-2024 05:00,915,5.96,Economy,2,248,Friday,1160.41
103,JetBlue,JFK,JFK,05-01-2024 06:00,3493,7.63,Business,2,342,Friday,1630.5
104,United,LAX,JFK,05-01-2024 07:00,4619,1.7,Business,0,147,Friday,327.52
105,Delta,DFW,JFK,05-01-2024 08:00,4820,8.89,Economy,1,248,Friday,1588.99
106,United,JFK,LAX,05-01-2024 09:00,1578,11.79,Economy,0,78,Friday,1809.21
107,American,ORD,DFW,05-01-2024 10:00,4671,4.97,First,0,345,Friday,79.4
108,Southwest,DFW,DFW,05-01-2024 11:00,2464,1.27,Business,2,71,Friday,493.73
109,United,LAX,JFK,05-01-2024 12:00,2147,4.92,Economy,0,267,Friday,181.47
110,United,LAX,ORD,05-01-2024 13:00,607,5.95,Economy,1,103,Friday,1163.48
111,United,JFK,LAX,05-01-2024 14:00,2462,5.87,First,0,174,Friday,294.29
112,United,DFW,JFK,05-01-2024 15:00,1893,10.97,Economy,0,158,Friday,1191.23
113,Delta,ATL,DFW,05-01-2024 16:00,474,6.23,Business,2,141,Friday,527.41
114,Delta,LAX,DFW,05-01-2024 17:00,1162,4.67,Business,0,342,Friday,1736.38
115,Southwest,JFK,LAX,05-01-2024 18:00,1066,4,Business,2,135,Friday,328.93
116,American,ATL,LAX,05-01-2024 19:00,3656,1.05,First,1,157,Friday,1250.36
117,Delta,ATL,JFK,05-01-2024 20:00,1582,7.61,First,0,82,Friday,1363.01
118,United,ORD,LAX,05-01-2024 21:00,2988,7.17,Economy,1,339,Friday,590.77
119,United,ATL,ATL,05-01-2024 22:00,941,10.23,Economy,2,339,Friday,1922.13
120,JetBlue,LAX,ORD,05-01-2024 23:00,2315,1.36,Business,2,303,Friday,709.21
121,American,ATL,ATL,06-01-2024 00:00,4213,9.89,First,1,262,Saturday,513.8
122,United,ATL,JFK,06-01-2024 01:00,4020,1.14,Business,1,36,Saturday,1673.53
123,Delta,ATL,JFK,06-01-2024 02:00,1934,1.44,First,1,36,Saturday,1657.54
124,Delta,ATL,ATL,06-01-2024 03:00,3998,9.68,First,1,210,Saturday,1300.41
125,United,ATL,ORD,06-01-2024 04:00,4041,11.4,First,0,154,Saturday,528.26
126,American,DFW,LAX,06-01-2024 05:00,2162,2.93,Business,0,218,Saturday,1524.25
127,Southwest,LAX,ORD,06-01-2024 06:00,2196,10.03,First,2,243,Saturday,1081.14
128,JetBlue,ORD,DFW,06-01-2024 07:00,4687,3.79,Economy,0,118,Saturday,1283.91
129,Delta,DFW,JFK,06-01-2024 08:00,1300,11.53,Economy,1,100,Saturday,599.45
130,Southwest,LAX,DFW,06-01-2024 09:00,4354,6.77,First,0,152,Saturday,483.08
131,Delta,JFK,JFK,06-01-2024 10:00,3976,4.48,Economy,1,311,Saturday,266.11
132,Southwest,ORD,LAX,06-01-2024 11:00,3154,6.05,First,1,124,Saturday,1845.04
133,American,DFW,JFK,06-01-2024 12:00,4992,10.84,Economy,2,86,Saturday,1117.21
134,Southwest,LAX,LAX,06-01-2024 13:00,2264,9.3,Economy,1,31,Saturday,79.93
135,Southwest,LAX,DFW,06-01-2024 14:00,3549,9.18,First,0,243,Saturday,1398.47
136,United,DFW,DFW,06-01-2024 15:00,582,10.3,Economy,2,168,Saturday,1689.4
137,United,LAX,ATL,06-01-2024 16:00,2417,8.4,Economy,1,180,Saturday,1930.72
138,United,ORD,ORD,06-01-2024 17:00,1973,2.76,First,2,173,Saturday,453.95
139,Southwest,ATL,ORD,06-01-2024 18:00,1840,2.63,First,1,71,Saturday,1447.84
140,American,ATL,ATL,06-01-2024 19:00,2013,7.25,Economy,0,7,Saturday,1731.68
141,JetBlue,DFW,JFK,06-01-2024 20:00,4386,11.49,Business,2,23,Saturday,1769.56
142,Southwest,JFK,DFW,06-01-2024 21:00,2507,6.7,Business,2,49,Saturday,1704.14
143,Southwest,JFK,ATL,06-01-2024 22:00,1649,6.66,Economy,2,198,Saturday,1992.88
144,Southwest,ORD,ATL,06-01-2024 23:00,2485,1.19,Economy,0,245,Saturday,951.31
145,Southwest,DFW,LAX,07-01-2024 00:00,2580,10.21,Economy,2,347,Sunday,1937.67
146,Delta,ORD,LAX,07-01-2024 01:00,2996,4.39,First,2,43,Sunday,902.01
147,American,DFW,JFK,07-01-2024 02:00,1412,1.95,First,2,308,Sunday,953.38
148,Southwest,JFK,DFW,07-01-2024 03:00,4798,7.22,First,0,241,Sunday,1339.61
149,JetBlue,ATL,ORD,07-01-2024 04:00,1435,5.61,Business,0,236,Sunday,1131.87
150,Southwest,LAX,ORD,07-01-2024 05:00,241,8.29,Economy,1,310,Sunday,296.73
151,JetBlue,ORD,JFK,07-01-2024 06:00,3830,7.21,Economy,2,231,Sunday,1227.12
152,American,ORD,LAX,07-01-2024 07:00,3512,10.29,Business,2,60,Sunday,800.19
153,United,DFW,ORD,07-01-2024 08:00,3097,7.91,First,1,218,Sunday,1186.55
154,Southwest,ORD,ATL,07-01-2024 09:00,2028,1.03,Business,1,342,Sunday,1465.21
155,American,ORD,ORD,07-01-2024 10:00,4679,2.77,Economy,1,82,Sunday,1539.78
156,American,ATL,ATL,07-01-2024 11:00,3622,3.31,Business,1,115,Sunday,1622.51
157,United,ATL,LAX,07-01-2024 12:00,3524,2.08,Business,0,352,Sunday,386.5
158,Southwest,ORD,JFK,07-01-2024 13:00,4274,4.7,First,0,124,Sunday,644.64
159,United,JFK,LAX,07-01-2024 14:00,4270,10.83,Business,1,87,Sunday,983.11
160,American,LAX,ORD,07-01-2024 15:00,3486,7.45,Economy,2,7,Sunday,541.51
161,Delta,LAX,ATL,07-01-2024 16:00,4595,5.24,Economy,2,120,Sunday,165.72
162,JetBlue,JFK,ORD,07-01-2024 17:00,3292,4.51,Economy,2,257,Sunday,1373.87
163,United,DFW,ATL,07-01-2024 18:00,1947,2.31,First,0,241,Sunday,157.85
164,Delta,LAX,ORD,07-01-2024 19:00,4869,7.1,Economy,1,129,Sunday,267.36
165,United,DFW,DFW,07-01-2024 20:00,4199,10.16,Business,0,270,Sunday,765.8
166,Delta,JFK,ATL,07-01-2024 21:00,1159,11.66,Business,0,5,Sunday,499.06
167,United,LAX,ATL,07-01-2024 22:00,477,3.71,Business,0,279,Sunday,1244.32
168,JetBlue,ORD,DFW,07-01-2024 23:00,2405,5.19,Business,2,244,Sunday,1560.86
169,United,LAX,ATL,08-01-2024 00:00,2152,4.64,Economy,0,34,Monday,1143.66
170,Southwest,DFW,ATL,08-01-2024 01:00,4113,11.9,Economy,1,281,Monday,1477.88
171,Southwest,DFW,ATL,08-01-2024 02:00,792,7.19,First,1,345,Monday,947.46
172,American,LAX,DFW,08-01-2024 03:00,2583,5.76,Business,0,115,Monday,1086.4
173,JetBlue,ORD,JFK,08-01-2024 04:00,2997,2.69,First,2,317,Monday,1230.62
174,JetBlue,JFK,ORD,08-01-2024 05:00,532,9.4,First,2,213,Monday,838.12
175,JetBlue,LAX,DFW,08-01-2024 06:00,960,4.96,Economy,0,238,Monday,181.23
176,United,ATL,DFW,08-01-2024 07:00,3775,5.13,First,1,112,Monday,1065.28
177,American,DFW,ORD,08-01-2024 08:00,2053,2.77,Business,0,299,Monday,730.45
178,Delta,ORD,JFK,08-01-2024 09:00,264,4.12,Economy,0,267,Monday,76.71
179,Southwest,JFK,JFK,08-01-2024 10:00,4279,7.31,Business,1,119,Monday,1284.24
180,Delta,LAX,ATL,08-01-2024 11:00,4476,11.77,First,2,162,Monday,1071.9
181,Delta,JFK,LAX,08-01-2024 12:00,2331,6.54,First,2,249,Monday,892.75
182,Delta,JFK,DFW,08-01-2024 13:00,3524,9.07,Economy,1,224,Monday,141.08
183,American,ORD,DFW,08-01-2024 14:00,4509,6.58,First,1,73,Monday,1537.88
184,Delta,LAX,ORD,08-01-2024 15:00,4833,3.94,First,2,209,Monday,1435.56
185,American,LAX,DFW,08-01-2024 16:00,975,6.37,First,1,203,Monday,191.68
186,Southwest,ORD,LAX,08-01-2024 17:00,3578,1.48,Economy,1,260,Monday,1724.33
187,Southwest,ORD,ATL,08-01-2024 18:00,4258,9.16,First,0,122,Monday,1944.7
188,United,JFK,ATL,08-01-2024 19:00,212,7.91,Business,1,256,Monday,1553.37
189,Delta,ATL,DFW,08-01-2024 20:00,2977,3.47,Economy,1,230,Monday,571.84
190,American,LAX,ORD,08-01-2024 21:00,625,10.19,Business,0,317,Monday,430.1
191,American,LAX,DFW,08-01-2024 22:00,4776,8.46,First,1,353,Monday,99.69
192,Southwest,ORD,DFW,08-01-2024 23:00,848,11.02,Economy,0,140,Monday,1118.16
193,Southwest,LAX,JFK,09-01-2024 00:00,547,11.71,Business,2,188,Tuesday,1185.58
194,JetBlue,JFK,LAX,09-01-2024 01:00,3601,6.21,Economy,1,147,Tuesday,310.28
195,American,JFK,DFW,09-01-2024 02:00,273,3.88,Economy,0,263,Tuesday,900.47
196,Delta,DFW,LAX,09-01-2024 03:00,2155,6.38,Business,2,35,Tuesday,743.44
197,Delta,LAX,ORD,09-01-2024 04:00,4245,1.45,First,1,226,Tuesday,465.53
198,American,LAX,LAX,09-01-2024 05:00,1607,7.6,Business,2,210,Tuesday,910.55
199,United,DFW,ATL,09-01-2024 06:00,4265,3.65,Economy,0,145,Tuesday,143.63
200,JetBlue,DFW,DFW,09-01-2024 07:00,2366,7.7,Business,0,142,Tuesday,234.56
201,JetBlue,ATL,LAX,09-01-2024 08:00,3940,6.24,First,0,341,Tuesday,746.92
202,American,ATL,DFW,09-01-2024 09:00,2246,6.53,Economy,0,129,Tuesday,1246.85
203,Southwest,LAX,JFK,09-01-2024 10:00,3273,9.2,Economy,0,252,Tuesday,1176.68
204,Southwest,DFW,ATL,09-01-2024 11:00,4220,6.43,Business,0,250,Tuesday,1125.32
205,United,DFW,ORD,09-01-2024 12:00,870,2.05,Economy,1,209,Tuesday,437.95
206,American,ATL,LAX,09-01-2024 13:00,4609,9.5,Economy,0,122,Tuesday,159.81
207,Delta,JFK,LAX,09-01-2024 14:00,3911,2.59,First,2,337,Tuesday,1972.93
208,United,DFW,LAX,09-01-2024 15:00,2059,9.8,Business,0,21,Tuesday,416.6
209,United,DFW,DFW,09-01-2024 16:00,642,7,Business,1,328,Tuesday,237.75
210,United,JFK,ORD,09-01-2024 17:00,483,2.58,Business,1,297,Tuesday,1479.43
211,United,LAX,LAX,09-01-2024 18:00,3213,7.49,Economy,0,158,Tuesday,1297.53
212,American,LAX,LAX,09-01-2024 19:00,2917,2.42,Business,1,8,Tuesday,1620.08
213,American,JFK,ATL,09-01-2024 20:00,3678,11.03,First,0,220,Tuesday,603.78
214,Southwest,ORD,JFK,09-01-2024 21:00,4333,1.14,Business,0,271,Tuesday,1281.21
215,American,LAX,LAX,09-01-2024 22:00,3570,1.63,Economy,0,170,Tuesday,801.71
216,JetBlue,ATL,JFK,09-01-2024 23:00,3241,2.14,Business,1,184,Tuesday,882.97
217,Delta,LAX,DFW,10-01-2024 00:00,1776,6.16,Business,1,251,Wednesday,527.05
218,JetBlue,DFW,ORD,10-01-2024 01:00,2821,7.04,First,1,34,Wednesday,860.93
219,Southwest,ATL,ATL,10-01-2024 02:00,3847,10.65,Business,2,280,Wednesday,218.4
220,United,ORD,ORD,10-01-2024 03:00,3468,6.25,Economy,0,99,Wednesday,1546.49
221,United,DFW,JFK,10-01-2024 04:00,4915,4.94,Business,2,84,Wednesday,690.19
222,JetBlue,ATL,DFW,10-01-2024 05:00,646,10.08,First,1,24,Wednesday,388.16
223,JetBlue,DFW,DFW,10-01-2024 06:00,4431,11.31,First,1,46,Wednesday,600.92
224,United,ORD,JFK,10-01-2024 07:00,3651,2.59,Business,2,146,Wednesday,1132.31
225,United,DFW,ATL,10-01-2024 08:00,4470,3.55,First,1,263,Wednesday,306.65
226,Southwest,LAX,ORD,10-01-2024 09:00,1630,7.76,First,0,154,Wednesday,771.5
227,United,JFK,ORD,10-01-2024 10:00,2958,10.72,Business,0,103,Wednesday,1995.3
228,American,ATL,DFW,10-01-2024 11:00,4201,11.3,First,2,279,Wednesday,1176.27
229,American,JFK,LAX,10-01-2024 12:00,1483,10.99,Business,2,301,Wednesday,578.28
230,United,LAX,JFK,10-01-2024 13:00,4318,11.04,Business,0,127,Wednesday,544.63
231,United,ORD,LAX,10-01-2024 14:00,1440,10.81,First,2,292,Wednesday,1075.44
232,American,JFK,LAX,10-01-2024 15:00,1827,8.49,Economy,0,229,Wednesday,1537.36
233,Southwest,ORD,ATL,10-01-2024 16:00,3571,10.46,Economy,1,271,Wednesday,1299.82
234,American,DFW,LAX,10-01-2024 17:00,4066,3.23,Business,2,169,Wednesday,1615.08
235,Southwest,JFK,DFW,10-01-2024 18:00,2873,9.96,Business,1,226,Wednesday,826.6
236,Delta,LAX,ATL,10-01-2024 19:00,1079,2.05,Economy,1,168,Wednesday,1865.81
237,Delta,LAX,ATL,10-01-2024 20:00,3035,6.27,Business,1,213,Wednesday,1830.27
238,United,ORD,DFW,10-01-2024 21:00,3008,5.38,First,0,239,Wednesday,375.64
239,Southwest,LAX,ATL,10-01-2024 22:00,442,2.53,Economy,1,230,Wednesday,688.96
240,Southwest,ATL,ATL,10-01-2024 23:00,3019,9.89,Economy,0,55,Wednesday,721.05
241,JetBlue,LAX,ATL,11-01-2024 00:00,3337,8.5,Business,2,245,Thursday,429.56
242,Southwest,LAX,ORD,11-01-2024 01:00,2430,5.56,Economy,1,2,Thursday,618.65
243,American,DFW,LAX,11-01-2024 02:00,745,1.89,First,1,21,Thursday,597.24
244,American,ATL,LAX,11-01-2024 03:00,4844,1.82,Economy,0,217,Thursday,1931.65
245,United,JFK,JFK,11-01-2024 04:00,3186,6.9,Business,1,21,Thursday,1482.81
246,American,DFW,JFK,11-01-2024 05:00,4856,5.14,First,2,17,Thursday,84.57
247,United,JFK,ATL,11-01-2024 06:00,234,10.15,Business,1,28,Thursday,1560.13
248,United,DFW,ATL,11-01-2024 07:00,989,2.03,Economy,2,51,Thursday,1481.62
249,American,ORD,JFK,11-01-2024 08:00,735,10.27,First,2,138,Thursday,244.46
250,JetBlue,DFW,JFK,11-01-2024 09:00,2990,8.05,Economy,2,189,Thursday,406.33
251,Delta,ATL,DFW,11-01-2024 10:00,4958,5.57,Business,0,126,Thursday,922.91
252,American,JFK,DFW,11-01-2024 11:00,4319,2.54,Business,1,233,Thursday,1665.32
253,Southwest,DFW,ATL,11-01-2024 12:00,2953,11.34,First,0,50,Thursday,478.74
254,Delta,ORD,JFK,11-01-2024 13:00,3395,8.43,Economy,0,193,Thursday,1786.22
255,American,JFK,ORD,11-01-2024 14:00,2316,4.93,Business,2,140,Thursday,74.5
256,Southwest,DFW,ATL,11-01-2024 15:00,3703,5.08,Economy,1,172,Thursday,1570.88
257,Delta,ATL,ATL,11-01-2024 16:00,4222,5.69,First,1,132,Thursday,529.69
258,Southwest,DFW,LAX,11-01-2024 17:00,3256,1.62,Economy,2,86,Thursday,692.64
259,Southwest,ORD,ATL,11-01-2024 18:00,2326,3.01,First,1,217,Thursday,401.88
260,Delta,ATL,DFW,11-01-2024 19:00,2075,7.48,Economy,1,273,Thursday,1927
261,Delta,ORD,JFK,11-01-2024 20:00,3525,2.55,First,2,27,Thursday,1805.22
262,JetBlue,JFK,ATL,11-01-2024 21:00,1254,5.06,First,1,276,Thursday,234.31
263,Southwest,JFK,DFW,11-01-2024 22:00,2356,10.91,Business,1,260,Thursday,1558.91
264,American,DFW,DFW,11-01-2024 23:00,4290,8.7,First,1,325,Thursday,427.99
265,American,DFW,JFK,12-01-2024 00:00,1680,9.84,First,0,224,Friday,1496.32
266,Southwest,ORD,ATL,12-01-2024 01:00,1425,5.79,Economy,2,325,Friday,1220.6
267,Southwest,DFW,LAX,12-01-2024 02:00,1689,2.34,Business,2,88,Friday,1042.41
268,JetBlue,DFW,JFK,12-01-2024 03:00,3058,10.43,Economy,0,9,Friday,1134.13
269,United,JFK,JFK,12-01-2024 04:00,1669,4.93,First,2,110,Friday,389.7
270,JetBlue,LAX,DFW,12-01-2024 05:00,2595,2.18,Business,2,171,Friday,1691.74
271,United,JFK,LAX,12-01-2024 06:00,3720,5.87,Business,1,362,Friday,570.04
272,United,JFK,JFK,12-01-2024 07:00,1437,2.93,Business,0,150,Friday,433.49
273,United,JFK,JFK,12-01-2024 08:00,2007,6.31,Business,0,131,Friday,364.03
274,Delta,LAX,ATL,12-01-2024 09:00,4976,9.51,Economy,1,78,Friday,331.77
275,Southwest,JFK,ATL,12-01-2024 10:00,3364,7.17,First,1,124,Friday,1286.32
276,United,DFW,ATL,12-01-2024 11:00,4157,11.91,Business,0,246,Friday,1238.68
277,Southwest,ATL,LAX,12-01-2024 12:00,2680,9.41,First,1,245,Friday,430.11
278,United,ORD,ATL,12-01-2024 13:00,2122,8.46,First,2,284,Friday,488.2
279,Southwest,DFW,DFW,12-01-2024 14:00,1960,8.59,First,2,33,Friday,383.45
280,American,ATL,DFW,12-01-2024 15:00,2819,5.78,First,2,199,Friday,824.7
281,American,ORD,ORD,12-01-2024 16:00,325,9.97,First,2,183,Friday,1318.24
282,American,DFW,ATL,12-01-2024 17:00,3598,5.42,Economy,1,364,Friday,520.67
283,JetBlue,ORD,JFK,12-01-2024 18:00,4498,6.6,First,2,172,Friday,1062.29
284,Delta,ORD,DFW,12-01-2024 19:00,423,3.56,First,1,159,Friday,678.92
285,Southwest,JFK,ORD,12-01-2024 20:00,3355,7.93,First,0,250,Friday,985.62
286,American,LAX,ORD,12-01-2024 21:00,3699,2.19,Economy,1,40,Friday,1803.72
287,Southwest,JFK,DFW,12-01-2024 22:00,321,6.89,Business,1,69,Friday,1733.84
288,United,DFW,JFK,12-01-2024 23:00,1385,11.06,First,1,20,Friday,461.17
